Img_Name,Tx,Ty,Tz,Rx,Ry,Rz
im_1_i.png,0.007868834,-0.01968569,0.159356777,2.314355453,0.237010846,0.042457807
im_2_i.png,0.013514775,-0.022891326,0.17052467,2.304687127,0.381457053,0.049073993
im_3_i.png,0.018925965,-0.018375475,0.188169368,2.284302826,0.565448602,0.012737707
im_4_i.png,0.007339915,-0.013239313,0.195754128,2.265630394,0.700237168,-0.034909896
im_5_i.png,0.001255148,-0.014885651,0.21937031,2.226855433,0.901786282,-0.078490665
im_6_i.png,0.013025814,-0.012307017,0.230756724,2.215180143,1.015780117,-0.131919429
im_7_i.png,0.009637282,-0.0115442,0.25497068,2.267815185,1.045455225,-0.234996161
im_8_i.png,-0.009357894,-0.021655303,0.284561077,2.345533157,1.071796706,-0.26839223
im_9_i.png,-0.015442703,-0.025431951,0.329700766,2.439936646,1.105929161,-0.268714883
im_10_i.png,-0.0152954,-0.036846673,0.358947985,2.515618723,1.148050005,-0.249911804
im_11_i.png,-0.012115121,-0.036368952,0.375072829,2.582880534,1.127244402,-0.24019549
im_12_i.png,-0.011827508,-0.040304146,0.40279854,2.718225825,1.094294948,-0.228327135
im_13_i.png,-0.006555733,-0.037741654,0.387580966,2.826175281,0.99917993,-0.203203001
im_14_i.png,-6.86E-05,-0.042395081,0.412647493,2.996858367,0.909972916,-0.131999005
im_15_i.png,0.004821155,-0.060224081,0.416510809,-3.01645432,-0.731384995,0.187224331
im_16_i.png,0.007463653,-0.048978593,0.416667856,3.10868631,0.540094642,-0.218215525
im_17_i.png,0.010379762,-0.038026077,0.424741597,-3.082181678,-0.353853643,0.175825779
im_18_i.png,0.01431272,-0.039366618,0.424792461,-3.073481497,-0.197823396,0.203282649
im_19_i.png,0.00973676,-0.0267247,0.424603927,3.175630095,0.066606892,-0.167145071
im_20_i.png,0.006029167,-0.016819347,0.423931481,-3.103169379,0.082901992,0.171015225
im_21_i.png,0.007879151,-0.008043124,0.424458432,-3.128932557,0.02400448,0.140092803
im_22_i.png,0.007376058,-0.003844787,0.424004859,-3.12268875,-0.037545223,0.07153834
im_23_i.png,-0.002951165,-0.005051547,0.426687567,-3.056536809,-0.14581933,0.118948028
im_24_i.png,-0.003525491,-0.022557088,0.399487763,3.094719922,0.451066104,-0.216237227
im_25_i.png,0.001944189,-0.026812119,0.378117229,2.96004473,0.738622417,-0.269432662
im_26_i.png,-0.002782541,-0.001053327,0.343343542,2.746262212,0.876606024,-0.367404691
im_27_i.png,0.017351961,-0.006233192,0.340123733,2.636069585,1.049825646,-0.319875004
im_28_i.png,0.023766197,-0.007812309,0.321615787,2.418101524,1.133197584,-0.400975756
im_29_i.png,0.016470269,-0.028922354,0.317678383,2.34636848,1.193463796,-0.422561554
im_30_i.png,0.005705845,-0.016621981,0.237644931,2.199944107,1.116963924,-0.418546995
im_31_i.png,-0.005723912,-0.02460827,0.190839804,2.110168063,1.006805424,-0.431274057
im_32_i.png,-0.022666984,-0.049768627,0.156639724,2.060586257,0.905840826,-0.444054906
im_33_i.png,-0.017183596,-0.051766845,0.151951536,1.980634247,1.026590222,-0.485184644
im_34_i.png,-0.003279485,-0.042731339,0.152962485,1.929498915,1.113489606,-0.49267975
im_35_i.png,-0.01136763,-0.044429384,0.153677941,1.914036935,1.162027607,-0.536628023
im_36_i.png,-0.006319128,-0.0355907,0.153167539,1.938008601,1.136606346,-0.547522999
im_37_i.png,-0.011019735,-0.039463673,0.145670604,1.995246579,1.064868203,-0.517226852
im_38_i.png,-0.008289907,-0.046437248,0.132191919,2.085060279,0.978314477,-0.422671733
im_39_i.png,-0.003435809,-0.044564397,0.124437871,2.142604048,0.860422564,-0.356235172
im_40_i.png,-0.001209454,-0.044983841,0.121657729,2.16286208,0.765852006,-0.328416025
im_41_i.png,-0.005162022,-0.047215163,0.120918747,2.190003247,0.664502811,-0.26034981
im_42_i.png,-0.008889439,-0.039360016,0.11813553,2.215144242,0.586152755,-0.246882069
im_43_i.png,-0.018250748,-0.036347404,0.113723731,2.249583286,0.426077536,-0.198220011
im_44_i.png,-0.017976289,-0.043970349,0.110679678,2.284879322,0.268998946,-0.119296292
im_45_i.png,-0.020648532,-0.048124288,0.099177594,2.29683354,0.123818459,-0.071686737
im_46_i.png,-0.016679642,-0.047109273,0.099910668,2.296108626,0.102933934,-0.051375953
im_47_i.png,-0.014519325,-0.022942798,0.099554345,2.220471717,0.120628867,-0.028011057
im_48_i.png,-0.01033995,-0.019400541,0.099006789,2.184322064,0.128918492,-0.042762515
im_49_i.png,-0.011349429,-0.005246701,0.107629429,2.207841564,0.13854146,-0.041195514
im_50_i.png,-0.008722599,0.011398237,0.135011605,2.20433327,0.192738446,-0.039362787
im_51_i.png,-0.001253064,0.002462436,0.175817228,2.290673348,0.310486577,-0.093464266
im_52_i.png,0.007593465,0.008866861,0.223814733,2.324600991,0.494607746,-0.150600328
im_53_i.png,-0.000367167,0.016262102,0.252691665,2.315900529,0.693385809,-0.277348905
im_54_i.png,0.00019976,0.016774458,0.258185618,2.290610808,0.897592545,-0.396792935
im_55_i.png,0.008591866,0.015347524,0.298769062,2.225877125,1.165741987,-0.538457954
im_56_i.png,0.007852049,0.004042928,0.308613399,2.205007565,1.315571002,-0.569290246
im_57_i.png,0.003462076,-0.002260702,0.315192813,2.180041764,1.421262981,-0.587749097
im_58_i.png,0.000650364,-0.01066451,0.32070639,2.18833167,1.505801834,-0.541692506
im_59_i.png,-0.009175524,-0.012790719,0.317087238,2.194989998,1.576979048,-0.476058373
im_60_i.png,-0.015285834,-0.015955114,0.316355002,2.187247193,1.638128085,-0.463501736
im_61_i.png,-0.016919451,-0.018898516,0.306772907,2.161519746,1.667887094,-0.470617286
im_62_i.png,-0.011090578,-0.030277463,0.291843459,2.141116658,1.685003677,-0.496616419
im_63_i.png,-0.003148627,-0.015782248,0.271064981,2.062428832,1.655981982,-0.5447167
im_64_i.png,-0.000450032,-0.030274781,0.248653095,2.008614691,1.590684379,-0.552367172
im_65_i.png,0.011503512,-0.044874476,0.239843629,2.027008073,1.57920458,-0.533154168
im_66_i.png,-0.00752525,-0.026202828,0.214177852,1.999000714,1.466481369,-0.531592981
im_67_i.png,0.002403109,-0.030745968,0.208398505,1.975763528,1.419566289,-0.519889666
im_68_i.png,-0.007977754,-0.027105793,0.191905915,1.943393581,1.334628521,-0.517573724
im_69_i.png,-0.020302778,-0.025460719,0.180541672,1.925632008,1.265165005,-0.509616901
im_70_i.png,-0.020901052,-0.032466946,0.177847798,1.938360277,1.076139686,-0.421868236
im_71_i.png,-0.015550076,-0.039050451,0.198482597,1.976418515,1.008072015,-0.382444235
im_72_i.png,-0.009326338,-0.042629529,0.180862532,2.012693185,0.90606061,-0.29648782
im_73_i.png,-0.010052179,-0.047806108,0.18313512,2.08850872,0.693629096,-0.196551168
im_74_i.png,-0.004098246,-0.049876066,0.177827519,2.169260158,0.518587993,-0.15532631
im_75_i.png,0.008003094,-0.048248403,0.159766089,2.200737336,0.413634756,-0.132836968
im_76_i.png,0.001129837,-0.047027148,0.139657113,2.237774587,0.271212739,-0.078822775
im_77_i.png,-0.002753234,-0.046971871,0.124303773,2.252772327,0.136130432,-0.027085511
im_78_i.png,-0.001409907,-0.045388277,0.116255619,2.270292281,0.051934058,-0.011021746
